Trường,STT,Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn,Ghi chú
Đại học KHXH và Nhân văn,4,Giáo dục học,7140101,D01,22.2,
Đại học KHXH và Nhân văn,5,Quản trị chất lượng giáo dục,7140107,C03,23.2,
Đại học KHXH và Nhân văn,6,Quản trị chất lượng giáo dục,7140107,D01,21.4,
Đại học KHXH và Nhân văn,7,Quản trị chất lượng giáo dục,7140107,D14,22.6,
Đại học KHXH và Nhân văn,8,Quản trị chất lượng giáo dục,7140107,D15,22.6,
Đại học KHXH và Nhân văn,9,Quản lý giáo dục,7140114,A01,24.4,
Đại học KHXH và Nhân văn,10,Quản lý giáo dục,7140114,C00,26.8,
Đại học KHXH và Nhân văn,11,Quản lý giáo dục,7140114,D01,22.6,
Đại học KHXH và Nhân văn,12,Quản lý giáo dục,7140114,D14,23.6,
Đại học KHXH và Nhân văn,13,Ngôn ngữ Anh (Chuẩn QT),7210201_CLC,D01,23.3,
Đại học KHXH và Nhân văn,14,Nghệ thuật học,7210213,C00,27.6,
Đại học KHXH và Nhân văn,15,Nghệ thuật học,7210213,D01,23.9,
Đại học KHXH và Nhân văn,16,Nghệ thuật học,7210213,D14,24.5,
Đại học KHXH và Nhân văn,17,Ngôn ngữ Anh,7220201,D01,23.65,
Đại học KHXH và Nhân văn,18,"Ngôn ngữ Anh (Liên kết ĐH Minnesota Crookston, Hoa Kỳ)",7220201_LKH,D01,21.5,
Đại học KHXH và Nhân văn,19,"Ngôn ngữ Anh (Liên kết ĐH Minnesota Crookston, Hoa Kỳ)",7220201_LKH,D14,22.1,
Đại học KHXH và Nhân văn,20,"Ngôn ngữ Anh (Liên kết ĐH Minnesota Crookston, Hoa Kỳ)",7220201_LKH,D15,22.1,
Đại học KHXH và Nhân văn,21,Ngôn ngữ Nga,7220202,D01,20.0,
Đại học KHXH và Nhân văn,22,Ngôn ngữ Nga,7220202,D02,20.5,
Đại học KHXH và Nhân văn,23,Ngôn ngữ Nga,7220202,D14,21.0,
Đại học KHXH và Nhân văn,24,Ngôn ngữ Pháp,7220203,D01,21.0,
Đại học KHXH và Nhân văn,25,Ngôn ngữ Pháp,7220203,D03,22.0,
Đại học KHXH và Nhân văn,26,Ngôn ngữ Pháp,7220203,D14,21.0,
Đại học KHXH và Nhân văn,27,Ngôn ngữ Trung Quốc,7220204,D01,23.29,
Đại học KHXH và Nhân văn,28,Ngôn ngữ Trung Quốc,7220204,D04,25.3,
Đại học KHXH và Nhân văn,29,Ngôn ngữ Trung Quốc,7220204,D14,23.3,
Đại học KHXH và Nhân văn,30,Ngôn ngữ Trung Quốc (QT),7220204_CLC,D04,22.3,
Đại học KHXH và Nhân văn,31,Ngôn ngữ Trung Quốc (QT),7220204_CLC,D01,22.5,
Đại học KHXH và Nhân văn,32,Ngôn ngữ Trung Quốc (QT),7220204_CLC,D14,22.5,
Đại học KHXH và Nhân văn,33,"Ngôn ngữ Trung Quốc (Liên kết ĐH Sư phạm Quảng Tây, Trung Quốc)",7220204_LKH,D01,22.2,
Đại học KHXH và Nhân văn,34,"Ngôn ngữ Trung Quốc (Liên kết ĐH Sư phạm Quảng Tây, Trung Quốc)",7220204_LKH,D04,22.1,
Đại học KHXH và Nhân văn,35,"Ngôn ngữ Trung Quốc (Liên kết ĐH Sư phạm Quảng Tây, Trung Quốc)",7220204_LKH,D14,22.7,
Đại học KHXH và Nhân văn,36,"Ngôn ngữ Trung Quốc (Liên kết ĐH Sư phạm Quảng Tây, Trung Quốc)",7220204_LKH,D15,22.7,
Đại học KHXH và Nhân văn,37,Ngôn ngữ Đức,7220205,D01,22.6,
Đại học KHXH và Nhân văn,38,Ngôn ngữ Đức,7220205,D05,23.0,
Đại học KHXH và Nhân văn,39,Ngôn ngữ Đức,7220205,D14,25.5,
Đại học KHXH và Nhân văn,40,Ngôn ngữ Đức (Chuẩn QT),7220205_CLC,D01,21.3,
Đại học KHXH và Nhân văn,41,Ngôn ngữ Đức (Chuẩn QT),7220205_CLC,D05,22.3,
Đại học KHXH và Nhân văn,42,Ngôn ngữ Đức (Chuẩn QT),7220205_CLC,D14,21.2,
Đại học KHXH và Nhân văn,43,Ngôn ngữ Tây Ban Nha,7220206,D01,21.6,
Đại học KHXH và Nhân văn,44,Ngôn ngữ Tây Ban Nha,7220206,D03,21.7,
Đại học KHXH và Nhân văn,45,Ngôn ngữ Tây Ban Nha,7220206,D05,21.6,
Đại học KHXH và Nhân văn,46,Ngôn ngữ Tây Ban Nha,7220206,D14,21.1,
Đại học KHXH và Nhân văn,47,Ngôn ngữ Italia,7220208,D01,20.1,
Đại học KHXH và Nhân văn,48,Ngôn ngữ Italia,7220208,D03,20.3,
Đại học KHXH và Nhân văn,49,Ngôn ngữ Italia,7220208,D05,20.3,
Đại học KHXH và Nhân văn,50,Ngôn ngữ Italia,7220208,D14,20.3,
Đại học KHXH và Nhân văn,51,Triết học,7229001,A01,22.9,
Đại học KHXH và Nhân văn,52,Triết học,7229001,C00,26.9,
Đại học KHXH và Nhân văn,53,Triết học,7229001,D01,21.9,
Đại học KHXH và Nhân văn,54,Triết học,7229001,D14,22.9,
Đại học KHXH và Nhân văn,55,Tôn giáo học,7229009,C00,25.9,
Đại học KHXH và Nhân văn,56,Tôn giáo học,7229009,D01,20.9,
Đại học KHXH và Nhân văn,57,Tôn giáo học,7229009,D14,21.85,
Đại học KHXH và Nhân văn,58,Lịch sử,7229010,C00,27.2,
Đại học KHXH và Nhân văn,59,Lịch sử,7229010,D01,22.2,
Đại học KHXH và Nhân văn,60,Lịch sử,7229010,D14,24.6,
Đại học KHXH và Nhân văn,61,Lịch sử,7229010,D15,23.9,
Đại học KHXH và Nhân văn,62,Ngôn ngữ học,7229020,C00,26.6,
Đại học KHXH và Nhân văn,63,Ngôn ngữ học,7229020,D01,22.2,
Đại học KHXH và Nhân văn,64,Ngôn ngữ học,7229020,D14,24.0,
Đại học KHXH và Nhân văn,65,Văn học,7229030,C00,26.92,
Đại học KHXH và Nhân văn,66,Văn học,7229030,D01,23.15,
Đại học KHXH và Nhân văn,67,Văn học,7229030,D14,24.6,
Đại học KHXH và Nhân văn,68,Văn hóa học,7229040,C00,27.35,
Đại học KHXH và Nhân văn,69,Văn hóa học,7229040,D01,23.1,
Đại học KHXH và Nhân văn,70,Văn hóa học,7229040,D14,24.15,
Đại học KHXH và Nhân văn,71,Văn hóa học,7229040,D15,24.3,
Đại học KHXH và Nhân văn,72,Quan hệ quốc tế,7310206,D01,23.5,
Đại học KHXH và Nhân văn,73,Quan hệ quốc tế,7310206,D14,24.2,
Đại học KHXH và Nhân văn,74,Quan hệ quốc tế (Chuẩn QT),7310206_CLC,D01,23.45,
Đại học KHXH và Nhân văn,75,Quan hệ quốc tế (Chuẩn QT),7310206_CLC,D14,24.1,
Đại học KHXH và Nhân văn,76,Xã hội học,7310301,A00,23.9,
Đại học KHXH và Nhân văn,77,Xã hội học,7310301,C00,26.9,
Đại học KHXH và Nhân văn,78,Xã hội học,7310301,D01,23.1,
Đại học KHXH và Nhân văn,79,Xã hội học,7310301,D14,23.4,
Đại học KHXH và Nhân văn,80,Nhân học,7310302,C00,26.2,
Đại học KHXH và Nhân văn,81,Nhân học,7310302,D01,22.4,
Đại học KHXH và Nhân văn,82,Nhân học,7310302,D14,22.7,
Đại học KHXH và Nhân văn,83,Nhân học,7310302,D15,23.1,
Đại học KHXH và Nhân văn,84,Tâm lý học,7310401,B00,25.3,
Đại học KHXH và Nhân văn,85,Tâm lý học,7310401,C00,27.75,
Đại học KHXH và Nhân văn,86,Tâm lý học,7310401,D01,24.4,
Đại học KHXH và Nhân văn,87,Tâm lý học,7310401,D14,24.95,
Đại học KHXH và Nhân văn,88,Tâm lý học giáo dục,7310403,B00,23.6,
Đại học KHXH và Nhân văn,89,Tâm lý học giáo dục,7310403,B08,22.3,
Đại học KHXH và Nhân văn,90,Tâm lý học giáo dục,7310403,D01,22.8,
Đại học KHXH và Nhân văn,91,Tâm lý học giáo dục,7310403,D14,23.5,
Đại học KHXH và Nhân văn,92,Địa lý học,7310501,A01,22.3,
Đại học KHXH và Nhân văn,93,Địa lý học,7310501,C00,27.13,
Đại học KHXH và Nhân văn,94,Địa lý học,7310501,D01,22.0,
Đại học KHXH và Nhân văn,95,Địa lý học,7310501,D15,25.0,
Đại học KHXH và Nhân văn,96,Quốc tế học,7310601,D01,23.3,
Đại học KHXH và Nhân văn,97,Quốc tế học,7310601,D09,24.0,
Đại học KHXH và Nhân văn,98,Quốc tế học,7310601,D14,24.0,
Đại học KHXH và Nhân văn,99,Quốc tế học,7310601,D15,24.0,
Đại học KHXH và Nhân văn,100,Đông phương học,7310608,D01,21.9,
Đại học KHXH và Nhân văn,101,Đông phương học,7310608,D04,22.7,
Đại học KHXH và Nhân văn,102,Đông phương học,7310608,D14,22.3,
Đại học KHXH và Nhân văn,103,Đông phương học,7310608,D15,22.5,
Đại học KHXH và Nhân văn,104,Nhật Bản học,7310613,D06,21.9,
Đại học KHXH và Nhân văn,105,Nhật Bản học,7310613,D01,22.2,
Đại học KHXH và Nhân văn,106,Nhật Bản học,7310613,D14,22.4,
Đại học KHXH và Nhân văn,107,Nhật Bản học,7310613,D63,22.9,
Đại học KHXH và Nhân văn,108,Nhật Bản học (Chuẩn Quốc tế),7310613_CLC,D01,20.5,
Đại học KHXH và Nhân văn,109,Nhật Bản học (Chuẩn Quốc tế),7310613_CLC,D06,21.0,
Đại học KHXH và Nhân văn,110,Nhật Bản học (Chuẩn Quốc tế),7310613_CLC,D14,20.5,
Đại học KHXH và Nhân văn,111,Nhật Bản học (Chuẩn Quốc tế),7310613_CLC,D63,21.0,
Đại học KHXH và Nhân văn,112,Hàn Quốc học,7310614,D01,22.25,
Đại học KHXH và Nhân văn,113,Hàn Quốc học,7310614,D14,22.25,
Đại học KHXH và Nhân văn,114,Hàn Quốc học,7310614,DD2,21.9,
Đại học KHXH và Nhân văn,115,Hàn Quốc học,7310614,DH5,21.9,
Đại học KHXH và Nhân văn,116,Việt Nam học,7310630,C00,27.2,
Đại học KHXH và Nhân văn,117,Việt Nam học,7310630,D01,22.0,
Đại học KHXH và Nhân văn,118,Việt Nam học,7310630,D14,23.4,
Đại học KHXH và Nhân văn,119,Việt Nam học,7310630,D15,23.5,
Đại học KHXH và Nhân văn,120,"Quan hệ quốc tế (Liên kết ĐH Deakin, Úc)",7310630_LKH,D01,22.0,
Đại học KHXH và Nhân văn,121,"Quan hệ quốc tế (Liên kết ĐH Deakin, Úc)",7310630_LKH,D14,22.0,
Đại học KHXH và Nhân văn,122,Kinh doanh thương mại Hàn Quốc,73106a1,D01,22.2,
Đại học KHXH và Nhân văn,123,Kinh doanh thương mại Hàn Quốc,73106a1,D14,23.0,
Đại học KHXH và Nhân văn,124,Kinh doanh thương mại Hàn Quốc,73106a1,DD2,22.5,
Đại học KHXH và Nhân văn,125,Kinh doanh thương mại Hàn Quốc,73106a1,DH5,22.5,
Đại học KHXH và Nhân văn,126,Báo chí,7320101,D01,24.3,
Đại học KHXH và Nhân văn,127,Báo chí,7320101,D14,24.55,
Đại học KHXH và Nhân văn,128,Báo chí,7320101,C00,28.55,
Đại học KHXH và Nhân văn,129,Báo chí (Chuẩn Quốc tế),7320101_CLC,D01,22.9,
Đại học KHXH và Nhân văn,130,Báo chí (Chuẩn Quốc tế),7320101_CLC,C00,27.0,
Đại học KHXH và Nhân văn,131,Báo chí (Chuẩn Quốc tế),7320101_CLC,D14,24.5,
Đại học KHXH và Nhân văn,132,"Truyền thông (chuyên ngành Báo chí) (Liên kết ĐH Deakin, Úc)",7320101_LKH,A01,22.5,
Đại học KHXH và Nhân văn,133,"Truyền thông (chuyên ngành Báo chí) (Liên kết ĐH Deakin, Úc)",7320101_LKH,D01,22.5,
Đại học KHXH và Nhân văn,134,"Truyền thông (chuyên ngành Báo chí) (Liên kết ĐH Deakin, Úc)",7320101_LKH,D14,23.1,
Đại học KHXH và Nhân văn,135,"Truyền thông (chuyên ngành Báo chí) (Liên kết ĐH Deakin, Úc)",7320101_LKH,D15,23.1,
Đại học KHXH và Nhân văn,136,Truyền thông đa phương tiện,7320104,D01,25.3,
Đại học KHXH và Nhân văn,137,Truyền thông đa phương tiện,7320104,D14,26.1,
Đại học KHXH và Nhân văn,138,Truyền thông đa phương tiện,7320104,D15,26.1,
Đại học KHXH và Nhân văn,139,Thông tin - Thư viện,7320201,A01,22.0,
Đại học KHXH và Nhân văn,140,Thông tin - Thư viện,7320201,C00,25.9,
Đại học KHXH và Nhân văn,141,Thông tin - Thư viện,7320201,D01,21.6,
Đại học KHXH và Nhân văn,142,Thông tin - Thư viện,7320201,D14,22.25,
Đại học KHXH và Nhân văn,143,Quản lý thông tin,7320205,A01,23.8,
Đại học KHXH và Nhân văn,144,Quản lý thông tin,7320205,C00,26.7,
Đại học KHXH và Nhân văn,145,Quản lý thông tin,7320205,D01,22.4,
Đại học KHXH và Nhân văn,146,Quản lý thông tin,7320205,D14,22.6,
Đại học KHXH và Nhân văn,147,Lưu trữ học,7320303,C00,26.3,
Đại học KHXH và Nhân văn,148,Lưu trữ học,7320303,D01,22.0,
Đại học KHXH và Nhân văn,149,Lưu trữ học,7320303,D14,22.6,
Đại học KHXH và Nhân văn,150,Lưu trữ học,7320303,D15,23.1,
Đại học KHXH và Nhân văn,151,Quản trị văn phòng,7340406,C00,27.2,
Đại học KHXH và Nhân văn,152,Quản trị văn phòng,7340406,D01,22.8,
Đại học KHXH và Nhân văn,153,Quản trị văn phòng,7340406,D14,23.8,
Đại học KHXH và Nhân văn,154,Quản trị văn phòng,7340406,D15,23.8,
Đại học KHXH và Nhân văn,155,Đô thị học,7580112,A01,21.9,
Đại học KHXH và Nhân văn,156,Đô thị học,7580112,C00,25.55,
Đại học KHXH và Nhân văn,157,Đô thị học,7580112,D01,21.0,
Đại học KHXH và Nhân văn,158,Đô thị học,7580112,D14,21.1,
Đại học KHXH và Nhân văn,159,Công tác xã hội,7760101,C00,26.4,
Đại học KHXH và Nhân văn,160,Công tác xã hội,7760101,D01,22.4,
Đại học KHXH và Nhân văn,161,Công tác xã hội,7760101,D14,23.6,
Đại học KHXH và Nhân văn,162,Công tác xã hội,7760101,D15,23.6,
Đại học KHXH và Nhân văn,163,Quản trị dịch vụ du lịch và lữ hành,7810103,C00,27.65,
Đại học KHXH và Nhân văn,164,Quản trị dịch vụ du lịch và lữ hành,7810103,D01,23.4,
Đại học KHXH và Nhân văn,165,Quản trị dịch vụ du lịch và lữ hành,7810103,D14,24.1,
Đại học KHXH và Nhân văn,166,Quản trị dịch vụ du lịch và lữ hành,7810103,D15,24.35,
Đại học KHXH và Nhân văn,167,Quản trị DV du lịch và lữ hành (QT),7810103_CLC,C00,26.4,
Đại học KHXH và Nhân văn,168,Quản trị DV du lịch và lữ hành (QT),7810103_CLC,D01,22.4,
Đại học KHXH và Nhân văn,169,Quản trị DV du lịch và lữ hành (QT),7810103_CLC,D14,23.3,
Đại học KHXH và Nhân văn,170,Quản trị DV du lịch và lữ hành (QT),7810103_CLC,D15,24.4,
Đại học Quốc tế,3,Toán – Tin học (Công nghệ thông tin (CTLK với ĐH West of England) (4+0); Công nghệ thông tin (CTLK với ĐH Macquarie) (2+1); Khoa học máy tính (CTLK với ĐH West of England) (2+2); Công nghệ thông tin (CTLK với ĐH Deakin) (2+2); Công nghệ thông tin (CTLK với ĐH Deakin) (3+1)),AP03,A00; A01; X26; X06; X10,20.0,
Đại học Quốc tế,4,Khoa học sự sống và Hóa học (Công nghệ sinh học (CTLK với ĐH West of England) (2+2); Công nghệ sinh học định hướng Y Sinh (CTLK với ĐH West of England) (4+0)),AP04,A00; B00; D07; B08; C08; D12; D13,19.75,
Đại học Quốc tế,5,Kỹ thuật (Kỹ thuật điện tử – viễn thông (CTLK với ĐH West of England) (2+2); Kỹ thuật xây dựng (CTLK với ĐH Deakin) (2+2)),AP05,A00; A01; B00; D07; B08; D01,17.5,
Đại học Quốc tế,8,Toán – Tin học (Nhóm ngành: Công nghệ thông tin; Khoa học máy tính; Khoa học dữ liệu; Toán ứng dụng (Kỹ thuật Tài chính và Quản trị rủi ro); Thống kê (Thống kê ứng dụng)),IU03,A00; A01; X26; X06; X10,21.0,
Đại học Quốc tế,9,Khoa học sự sống và Hóa học (Nhóm ngành: Công nghệ sinh học; Công nghệ thực phẩm; Hóa học (Hóa sinh); Kỹ thuật hóa học),IU04,A00; B00; D07; B08; C08; D12; D13,18.5,
Đại học Quốc tế,10,Kỹ thuật (Nhóm ngành: Logistics và Quản lý chuỗi cung ứng; Kỹ thuật hệ thống công nghiệp; Kỹ thuật điện tử – viễn thông; Kỹ thuật điều khiển và tự động hóa; Kỹ thuật y sinh; Kỹ thuật không gian (Phân tích và ứng dụng dữ liệu lớn); Kỹ thuật xây dựng; Quản lý xây dựng),IU05,A00; A01; B00; D07; B08; D01,19.5,
Đại học An Giang,1,Giáo dục Mầm non,7140201,A00; A02; X01; X06; X08; X10; A01; A03; A04; A05; A06; A07; X05; X24; X26; B00; B02; B03; B08; X04; X12; X14; X20; X65; D01; D07; D09; D10; D14; D15; X25; X27; X28; X78; X80; X81; M00; M01; M26; M27; M28; M29; M30,23.48,Nhóm 1
Đại học An Giang,2,Giáo dục Tiểu học,7140202,C01; C02; C03; C04; C08; X17; X70; X74,23.28,Nhóm 3
Đại học An Giang,3,Giáo dục Tiểu học,7140202,A00; A02; X01; X06; X08; X10; A01; A03; A04; A05; A06; A07; X05; X24; X26; B00; B02; B03; B08; X04; X12; X14; X20; X65; D01; D07; D09; D10; D14; D15; X25; X27; X28; X78; X80; X81; M00; M01; M26; M27; M28; M29; M30,23.01,Nhóm 1
Đại học An Giang,4,Giáo dục Chính trị,7140205,C01; C02; C03; C04; C08; X17; X70; X74,25.13,Nhóm 3
Đại học An Giang,5,Giáo dục Chính trị,7140205,A00; A02; X01; X06; X08; X10; A01; A03; A04; A05; A06; A07; X05; X24; X26; B00; B02; B03; B08; X04; X12; X14; X20; X65; D01; D07; D09; D10; D14; D15; X25; X27; X28; X78; X80; X81; M00; M01; M26; M27; M28; M29; M30,25.3,Nhóm 1
Đại học An Giang,6,Giáo dục Chính trị,7140205,C00,28.0,Nhóm 2
Đại học An Giang,7,Sư phạm Toán học,7140209,C01; C02; C03; C04; C08; X17; X70; X74,25.95,Nhóm 3
Đại học An Giang,8,Sư phạm Toán học,7140209,A00; A02; X01; X06; X08; X10; A01; A03; A04; A05; A06; A07; X05; X24; X26; B00; B02; B03; B08; X04; X12; X14; X20; X65; D01; D07; D09; D10; D14; D15; X25; X27; X28; X78; X80; X81; M00; M01; M26; M27; M28; M29; M30,26.33,Nhóm 1
Đại học An Giang,9,Sư phạm Vật lý,7140211,C01; C02; C03; C04; C08; X17; X70; X74,25.18,Nhóm 3
Đại học An Giang,10,Sư phạm Vật lý,7140211,A00; A02; X01; X06; X08; X10; A01; A03; A04; A05; A06; A07; X05; X24; X26; B00; B02; B03; B08; X04; X12; X14; X20; X65; D01; D07; D09; D10; D14; D15; X25; X27; X28; X78; X80; X81; M00; M01; M26; M27; M28; M29; M30,25.32,Nhóm 1
Đại học An Giang,11,Sư phạm Hóa học,7140212,A00; A02; X01; X06; X08; X10; A01; A03; A04; A05; A06; A07; X05; X24; X26; B00; B02; B03; B08; X04; X12; X14; X20; X65; D01; D07; D09; D10; D14; D15; X25; X27; X28; X78; X80; X81; M00; M01; M26; M27; M28; M29; M30,24.92,Nhóm 1
Đại học An Giang,12,Sư phạm Hóa học,7140212,C01; C02; C03; C04; C08; X17; X70; X74,24.75,Nhóm 3
Đại học An Giang,13,Sư phạm Sinh học,7140213,A00; A02; X01; X06; X08; X10; A01; A03; A04; A05; A06; A07; X05; X24; X26; B00; B02; B03; B08; X04; X12; X14; X20; X65; D01; D07; D09; D10; D14; D15; X25; X27; X28; X78; X80; X81; M00; M01; M26; M27; M28; M29; M30,23.49,Nhóm 1
Đại học An Giang,14,Sư phạm Ngữ văn,7140217,C00,27.68,Nhóm 2
Đại học An Giang,15,Sư phạm Ngữ văn,7140217,A00; A02; X01; X06; X08; X10; A01; A03; A04; A05; A06; A07; X05; X24; X26; B00; B02; B03; B08; X04; X12; X14; X20; X65; D01; D07; D09; D10; D14; D15; X25; X27; X28; X78; X80; X81; M00; M01; M26; M27; M28; M29; M30,24.71,Nhóm 1
Đại học An Giang,16,Sư phạm Ngữ văn,7140217,C01; C02; C03; C04; C08; X17; X70; X74,24.65,Nhóm 3
Đại học An Giang,17,Sư phạm Lịch sử,7140218,C00,28.75,Nhóm 2
Đại học An Giang,18,Sư phạm Lịch sử,7140218,A00; A02; X01; X06; X08; X10; A01; A03; A04; A05; A06; A07; X05; X24; X26; B00; B02; B03; B08; X04; X12; X14; X20; X65; D01; D07; D09; D10; D14; D15; X25; X27; X28; X78; X80; X81; M00; M01; M26; M27; M28; M29; M30,26.28,Nhóm 1
Đại học An Giang,19,Sư phạm Lịch sử,7140218,C01; C02; C03; C04; C08; X17; X70; X74,25.83,Nhóm 3
Đại học An Giang,20,Sư phạm Địa lý,7140219,C01; C02; C03; C04; C08; X17; X70; X74,25.53,Nhóm 3
Đại học An Giang,21,Sư phạm Địa lý,7140219,C00,28.25,Nhóm 2
Đại học An Giang,22,Sư phạm Địa lý,7140219,A00; A02; X01; X06; X08; X10; A01; A03; A04; A05; A06; A07; X05; X24; X26; B00; B02; B03; B08; X04; X12; X14; X20; X65; D01; D07; D09; D10; D14; D15; X25; X27; X28; X78; X80; X81; M00; M01; M26; M27; M28; M29; M30,25.91,Nhóm 1
Đại học An Giang,23,Sư phạm Tiếng Anh,7140231,A00; A02; X01; X06; X08; X10; A01; A03; A04; A05; A06; A07; X05; X24; X26; B00; B02; B03; B08; X04; X12; X14; X20; X65; D01; D07; D09; D10; D14; D15; X25; X27; X28; X78; X80; X81; M00; M01; M26; M27; M28; M29; M30,23.08,Nhóm 1
Đại học An Giang,24,Sư phạm Khoa học tự nhiên,7140247,C01; C02; C03; C04; C08; X17; X70; X74,24.4,Nhóm 3
Đại học An Giang,25,Sư phạm Khoa học tự nhiên,7140247,A00; A02; X01; X06; X08; X10; A01; A03; A04; A05; A06; A07; X05; X24; X26; B00; B02; B03; B08; X04; X12; X14; X20; X65; D01; D07; D09; D10; D14; D15; X25; X27; X28; X78; X80; X81; M00; M01; M26; M27; M28; M29; M30,24.48,Nhóm 1
Đại học An Giang,26,Sư phạm Lịch sử - Địa lý,7140249,C01; C02; C03; C04; C08; X17; X70; X74,24.87,Nhóm 3
Đại học An Giang,27,Sư phạm Lịch sử - Địa lý,7140249,A00; A02; X01; X06; X08; X10; A01; A03; A04; A05; A06; A07; X05; X24; X26; B00; B02; B03; B08; X04; X12; X14; X20; X65; D01; D07; D09; D10; D14; D15; X25; X27; X28; X78; X80; X81; M00; M01; M26; M27; M28; M29; M30,25.01,Nhóm 1
Đại học An Giang,28,Sư phạm Lịch sử - Địa lý,7140249,C00,27.75,Nhóm 2
Đại học An Giang,29,Ngôn ngữ Anh,7220201,A00; A02; X01; X06; X08; X10; A01; A03; A04; A05; A06; A07; X05; X24; X26; B00; B02; B03; B08; X04; X12; X14; X20; X65; D01; D07; D09; D10; D14; D15; X25; X27; X28; X78; X80; X81; M00; M01; M26; M27; M28; M29; M30,16.34,Nhóm 1
Đại học An Giang,30,Triết học,7229001,C00,24.8,Nhóm 2
Đại học An Giang,31,Triết học,7229001,A00; A02; X01; X06; X08; X10; A01; A03; A04; A05; A06; A07; X05; X24; X26; B00; B02; B03; B08; X04; X12; X14; X20; X65; D01; D07; D09; D10; D14; D15; X25; X27; X28; X78; X80; X81; M00; M01; M26; M27; M28; M29; M30,21.52,Nhóm 1
Đại học An Giang,32,Triết học,7229001,C01; C02; C03; C04; C08; X17; X70; X74,22.04,Nhóm 3
Đại học An Giang,33,Văn học,7229030,C00,26.0,Nhóm 2
Đại học An Giang,34,Văn học,7229030,A00; A02; X01; X06; X08; X10; A01; A03; A04; A05; A06; A07; X05; X24; X26; B00; B02; B03; B08; X04; X12; X14; X20; X65; D01; D07; D09; D10; D14; D15; X25; X27; X28; X78; X80; X81; M00; M01; M26; M27; M28; M29; M30,22.72,Nhóm 1
Đại học An Giang,35,Văn học,7229030,C01; C02; C03; C04; C08; X17; X70; X74,23.04,Nhóm 3
Đại học An Giang,36,Kinh tế quốc tế,7310106,A00; A02; X01; X06; X08; X10; A01; A03; A04; A05; A06; A07; X05; X24; X26; B00; B02; B03; B08; X04; X12; X14; X20; X65; D01; D07; D09; D10; D14; D15; X25; X27; X28; X78; X80; X81; M00; M01; M26; M27; M28; M29; M30,16.0,Nhóm 1
Đại học An Giang,37,Việt Nam học,7310630,A00; A02; X01; X06; X08; X10; A01; A03; A04; A05; A06; A07; X05; X24; X26; B00; B02; B03; B08; X04; X12; X14; X20; X65; D01; D07; D09; D10; D14; D15; X25; X27; X28; X78; X80; X81; M00; M01; M26; M27; M28; M29; M30,19.8,Nhóm 1
Đại học An Giang,38,Việt Nam học,7310630,C01; C02; C03; C04; C08; X17; X70; X74,20.75,Nhóm 3
Đại học An Giang,39,Việt Nam học,7310630,C00,23.13,Nhóm 2
Đại học An Giang,40,Quản trị kinh doanh,7340101,A00; A02; X01; X06; X08; X10; A01; A03; A04; A05; A06; A07; X05; X24; X26; B00; B02; B03; B08; X04; X12; X14; X20; X65; D01; D07; D09; D10; D14; D15; X25; X27; X28; X78; X80; X81; M00; M01; M26; M27; M28; M29; M30,16.5,Nhóm 1
Đại học An Giang,41,Marketing,7340115,A00; A02; X01; X06; X08; X10; A01; A03; A04; A05; A06; A07; X05; X24; X26; B00; B02; B03; B08; X04; X12; X14; X20; X65; D01; D07; D09; D10; D14; D15; X25; X27; X28; X78; X80; X81; M00; M01; M26; M27; M28; M29; M30,17.0,Nhóm 1
Đại học An Giang,42,Tài chính - Ngân hàng,7340201,A00; A02; X01; X06; X08; X10; A01; A03; A04; A05; A06; A07; X05; X24; X26; B00; B02; B03; B08; X04; X12; X14; X20; X65; D01; D07; D09; D10; D14; D15; X25; X27; X28; X78; X80; X81; M00; M01; M26; M27; M28; M29; M30,16.0,Nhóm 1
Đại học An Giang,43,Kế toán,7340301,A00; A02; X01; X06; X08; X10; A01; A03; A04; A05; A06; A07; X05; X24; X26; B00; B02; B03; B08; X04; X12; X14; X20; X65; D01; D07; D09; D10; D14; D15; X25; X27; X28; X78; X80; X81; M00; M01; M26; M27; M28; M29; M30,16.5,Nhóm 1
Đại học An Giang,44,Luật,7380101,A00; A02; X01; X06; X08; X10; A01; A03; A04; A05; A06; A07; X05; X24; X26; B00; B02; B03; B08; X04; X12; X14; X20; X65; D01; D07; D09; D10; D14; D15; X25; X27; X28; X78; X80; X81; M00; M01; M26; M27; M28; M29; M30,19.0,Nhóm 1
Đại học An Giang,45,Công nghệ sinh học,7420201,A00; A02; X01; X06; X08; X10; A01; A03; A04; A05; A06; A07; X05; X24; X26; B00; B02; B03; B08; X04; X12; X14; X20; X65; D01; D07; D09; D10; D14; D15; X25; X27; X28; X78; X80; X81; M00; M01; M26; M27; M28; M29; M30,16.0,Nhóm 1
Đại học An Giang,46,Công nghệ sinh học,7420201,C01; C02; C03; C04; C08; X17; X70; X74,16.25,Nhóm 3
Đại học An Giang,47,Kỹ thuật phần mềm,7480103,A00; A02; X01; X06; X08; X10; A01; A03; A04; A05; A06; A07; X05; X24; X26; B00; B02; B03; B08; X04; X12; X14; X20; X65; D01; D07; D09; D10; D14; D15; X25; X27; X28; X78; X80; X81; M00; M01; M26; M27; M28; M29; M30,16.0,Nhóm 1
Đại học An Giang,48,Kỹ thuật phần mềm,7480103,C01; C02; C03; C04; C08; X17; X70; X74,16.25,Nhóm 3
